Timestamp,Labels,I_w_BLO_Weg,O_w_BLO_power,O_w_BLO_voltage,I_w_BHL_Weg,O_w_BHL_power,O_w_BHL_voltage,I_w_BHR_Weg,O_w_BHR_power,O_w_BHR_voltage,I_w_BRU_Weg,O_w_BRU_power,O_w_BRU_voltage,I_w_HR_Weg,O_w_HR_power,O_w_HR_voltage,I_w_HL_Weg,O_w_HL_power,O_w_HL_voltage
0,0,-109,27,1,0,0,1,-1263,0,0,-7,17750,49,0,11458,27,0,11484,26
0.0839996337890625,0,-109,27,1,0,0,1,-1263,0,0,-7,17750,49,0,11458,27,0,11484,26
0.138999938964844,0,-109,27,1,0,0,1,-1263,0,0,-7,17750,49,0,11458,27,0,11484,26
0.182998657226563,0,-109,27,1,0,0,1,-1263,0,0,-7,17750,49,0,11458,27,0,11484,26
0.247001647949219,0,-109,27,1,0,0,1,-1263,0,0,-7,17750,49,0,11458,27,0,11484,26
0.2969970703125,0,-109,27,1,0,0,0,-1263,0,0,0,21634,60,0,11188,26,0,11484,26
0.403999328613281,0,-109,27,1,0,0,0,-1263,0,0,0,21634,60,0,11188,26,0,11484,26
0.447998046875,0,-109,27,1,0,0,0,-1263,0,0,0,21634,60,0,11188,26,0,11484,26
0.503997802734375,0,-109,25,1,0,12,0,-1263,0,0,79,20142,54,0,10999,26,0,8080,24
0.550003051757813,0,-109,25,1,0,12,0,-1263,0,0,79,20142,54,0,10999,26,0,8080,24
0.609001159667969,0,-109,25,1,0,12,0,-1263,0,0,79,20142,54,0,10999,26,0,8080,24
0.654998779296875,0,-109,25,1,0,12,0,-1263,0,0,79,20142,54,0,10999,26,0,8080,24
0.773002624511719,0,-109,25,1,0,0,0,-1263,0,0,157,21505,55,0,10918,26,0,11094,26
0.819000244140625,0,-109,25,1,0,0,0,-1263,0,0,157,21505,55,0,10918,26,0,11094,26
0.874000549316406,0,-109,25,1,0,0,0,-1263,0,0,157,21505,55,0,10918,26,0,11094,26
0.917999267578125,0,-109,27,1,0,0,0,-1263,0,0,235,22792,56,0,10702,26,0,7720,24
0.972999572753906,0,-109,27,1,0,0,0,-1263,0,0,235,22792,56,0,10702,26,0,7720,24
1.07499694824219,0,-109,27,1,0,0,0,-1263,0,0,235,22792,56,0,10702,26,0,7720,24
1.13600158691406,0,-109,27,1,0,0,0,-1263,0,0,235,22792,56,0,10702,26,0,7720,24
1.18000030517578,0,-109,27,1,0,12,0,-1263,0,0,313,23815,55,0,9092,27,0,7720,24
1.23500061035156,0,-109,27,1,0,12,0,-1263,0,0,313,23815,55,0,9092,27,0,7720,24
1.33799743652344,0,-109,27,1,0,12,0,-1263,0,0,313,23815,55,0,9092,27,0,7720,24
1.38999938964844,0,-109,31,1,0,0,0,32,18315,55,392,21224,55,0,11188,26,0,10756,26
1.45100402832031,0,-109,31,1,0,0,0,32,18315,55,392,21224,55,0,11188,26,0,10756,26
1.52100372314453,0,-109,31,1,0,0,0,32,18315,55,392,21224,55,0,11188,26,0,10756,26
1.57700347900391,0,-109,31,2,0,9,0,112,17550,54,473,17442,54,0,12349,27,0,7720,24
1.62300109863281,0,-109,31,2,0,9,0,112,17550,54,473,17442,54,0,12349,27,0,7720,24
1.67900085449219,0,-109,31,2,0,9,0,112,17550,54,473,17442,54,0,12349,27,0,7720,24
1.72799682617188,0,-109,31,2,0,9,0,112,17550,54,473,17442,54,0,12349,27,0,7720,24
1.8280029296875,0,-109,31,1,0,9,0,191,19062,52,550,14335,46,0,13618,27,0,10756,26
1.90000152587891,0,-109,31,1,0,9,0,191,19062,52,550,14335,46,0,13618,27,0,10756,26
1.94599914550781,0,-109,31,1,0,9,0,191,19062,52,550,14335,46,0,13618,27,0,10756,26
2.00199890136719,0,-109,31,1,0,9,0,191,19062,52,550,14335,46,0,13618,27,0,10756,26
2.04599761962891,0,-109,31,1,0,0,1,270,16555,55,574,0,0,0,14833,27,0,10756,26
