Timestamp,Labels,I_w_BLO_Weg,O_w_BLO_power,O_w_BLO_voltage,I_w_BHL_Weg,O_w_BHL_power,O_w_BHL_voltage,I_w_BHR_Weg,O_w_BHR_power,O_w_BHR_voltage,I_w_BRU_Weg,O_w_BRU_power,O_w_BRU_voltage,I_w_HR_Weg,O_w_HR_power,O_w_HR_voltage,I_w_HL_Weg,O_w_HL_power,O_w_HL_voltage
0,0,-106,0,0,0,100,1,-1272,0,0,-623,17350,50,0,8884,27,0,11484,26
0.131004333496094,0,-106,0,0,0,100,1,-1272,0,0,-623,17350,50,0,8884,27,0,11484,26
0.180999755859375,0,-106,0,0,0,100,1,-1272,0,0,-623,17350,50,0,8884,27,0,11484,26
0.241004943847656,0,-106,0,0,0,100,2,-1272,0,0,-9,28536,60,0,8572,26,0,8080,24
0.287002563476563,0,-106,0,0,0,100,2,-1272,0,0,-9,28536,60,0,8572,26,0,8080,24
0.39300537109375,0,-106,0,0,0,100,2,-1272,0,0,-9,28536,60,0,8572,26,0,8080,24
0.448005676269531,0,-106,0,0,0,100,2,-1272,0,0,70,19344,52,0,8312,26,0,11094,26
0.49200439453125,0,-106,0,0,0,100,2,-1272,0,0,70,19344,52,0,8312,26,0,11094,26
0.548004150390625,0,-106,0,0,0,100,2,-1272,0,0,70,19344,52,0,8312,26,0,11094,26
0.593002319335938,0,-106,0,0,0,100,2,-1272,0,0,70,19344,52,0,8312,26,0,11094,26
0.705001831054688,0,-106,0,0,0,100,2,-1272,0,0,147,23374,58,0,8312,26,0,6033,24
0.751998901367188,0,-106,0,0,0,100,2,-1272,0,0,147,23374,58,0,8312,26,0,6033,24
0.807998657226563,0,-106,0,0,0,100,2,-1272,0,0,147,23374,58,0,8312,26,0,6033,24
0.852005004882813,0,-106,0,0,0,100,2,-1272,0,0,147,23374,58,0,8312,26,0,6033,24
0.908004760742188,0,-106,0,0,0,100,2,-1272,0,0,227,23940,57,0,8052,26,0,11094,24
